threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.15999999999999998,0.9726666666666667,0.5641025641025641,0.8627450980392157,0.682170542635659,0.9765355417529331,0.9196403198960744,0.9842555379639761,0.7807439611753059,1415,34,7,44
0.16999999999999998,0.9733333333333334,0.5733333333333334,0.8431372549019608,0.6825396825396826,0.9779158040027606,0.9105265294523607,0.9842555379639761,0.7807439611753059,1417,32,8,43
0.18,0.9733333333333334,0.5733333333333334,0.8431372549019608,0.6825396825396826,0.9779158040027606,0.9105265294523607,0.9842555379639761,0.7807439611753059,1417,32,8,43
0.19,0.9746666666666667,0.589041095890411,0.8431372549019608,0.6935483870967742,0.979296066252588,0.9112166605772745,0.9842555379639761,0.7807439611753059,1419,30,8,43
0.19999999999999996,0.9753333333333334,0.5972222222222222,0.8431372549019608,0.6991869918699186,0.9799861973775017,0.9115617261397313,0.9842555379639761,0.7807439611753059,1420,29,8,43
0.20999999999999996,0.976,0.6056338028169014,0.8431372549019608,0.7049180327868853,0.9806763285024155,0.9119067917021881,0.9842555379639761,0.7807439611753059,1421,28,8,43
0.21999999999999997,0.9766666666666667,0.6142857142857143,0.8431372549019608,0.7107438016528925,0.9813664596273292,0.912251857264645,0.9842555379639761,0.7807439611753059,1422,27,8,43
0.22999999999999998,0.9766666666666667,0.6176470588235294,0.8235294117647058,0.7058823529411765,0.9820565907522429,0.9027930012584744,0.9842555379639761,0.7807439611753059,1423,26,9,42
0.24,0.9766666666666667,0.6212121212121212,0.803921568627451,0.7008547008547008,0.9827467218771566,0.8933341452523038,0.9842555379639761,0.7807439611753059,1424,25,10,41
0.24999999999999994,0.976,0.6153846153846154,0.7843137254901961,0.6896551724137931,0.9827467218771566,0.8835302236836764,0.9842555379639761,0.7807439611753059,1424,25,11,40
0.25999999999999995,0.9766666666666667,0.625,0.7843137254901961,0.6956521739130435,0.9834368530020704,0.8838752892461332,0.9842555379639761,0.7807439611753059,1425,24,11,40
0.26999999999999996,0.9753333333333334,0.6129032258064516,0.7450980392156863,0.672566371681416,0.9834368530020704,0.8642674461088784,0.9842555379639761,0.7807439611753059,1425,24,13,38
0.27999999999999997,0.976,0.6229508196721312,0.7450980392156863,0.6785714285714286,0.9841269841269841,0.8646125116713352,0.9842555379639761,0.7807439611753059,1426,23,13,38
0.29,0.9766666666666667,0.6333333333333333,0.7450980392156863,0.6846846846846847,0.9848171152518979,0.8649575772337921,0.9842555379639761,0.7807439611753059,1427,22,13,38
0.3,0.9766666666666667,0.6333333333333333,0.7450980392156863,0.6846846846846847,0.9848171152518979,0.8649575772337921,0.9842555379639761,0.7807439611753059,1427,22,13,38
0.30999999999999994,0.976,0.6271186440677966,0.7254901960784313,0.6727272727272727,0.9848171152518979,0.8551536556651647,0.9842555379639761,0.7807439611753059,1427,22,14,37
0.31999999999999995,0.9773333333333334,0.6545454545454545,0.7058823529411765,0.679245283018868,0.9868875086266391,0.8463849307839078,0.9842555379639761,0.7807439611753059,1430,19,15,36
0.32999999999999996,0.9773333333333334,0.6545454545454545,0.7058823529411765,0.679245283018868,0.9868875086266391,0.8463849307839078,0.9842555379639761,0.7807439611753059,1430,19,15,36
0.33999999999999997,0.978,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.9875776397515528,0.8467299963463646,0.9842555379639761,0.7807439611753059,1431,18,15,36
0.3499999999999999,0.978,0.6730769230769231,0.6862745098039216,0.6796116504854369,0.9882677708764666,0.837271140340194,0.9842555379639761,0.7807439611753059,1432,17,16,35
0.35999999999999993,0.978,0.6730769230769231,0.6862745098039216,0.6796116504854369,0.9882677708764666,0.837271140340194,0.9842555379639761,0.7807439611753059,1432,17,16,35
0.36999999999999994,0.9786666666666667,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.9889579020013802,0.8376162059026508,0.9842555379639761,0.7807439611753059,1433,16,16,35
