PC,Eigenvalue,Explained variance ratio,Cumulative explained variance
129,0.3270466567851929,0.0005828915735221263,0.9706711635026033
130,0.32298601814272304,0.0005756543429964261,0.9712468178455997
131,0.31671930115379393,0.0005644852438764374,0.9718113030894762
132,0.3127841020232608,0.0005574715827802901,0.9723687746722565
133,0.30613364171285495,0.0005456185422597595,0.9729143932145162
134,0.3026115603855492,0.0005393411763721927,0.9734537343908884
135,0.2969879750821375,0.0005293183236130082,0.9739830527145015
136,0.2949657628473601,0.0005257141575190576,0.9745087668720205
137,0.2890291089473649,0.0005151333261256418,0.9750239001981461
138,0.28344179126290986,0.0005051751127353148,0.9755290753108814
139,0.28178396984587606,0.0005022203962924305,0.9760312957071738
140,0.2743137122888468,0.0004889062403709642,0.9765202019475449
141,0.2720770408371875,0.00048491984602978605,0.9770051217935747
142,0.26633453351507874,0.00047468503989585634,0.9774798068334706
143,0.2634731666749784,0.0004695852579985425,0.9779493920914691
144,0.2587228278126018,0.0004611187825376035,0.9784105108740068
