original_index,TSNE_1,TSNE_2
3160,-13.211679822032613,49.37671330687021
3108,-13.485235853888538,17.646150131853826
360,28.58446569371882,-22.466661788686103
1815,-0.16343421365669583,-4.761509728071104
5422,10.33190375119966,-11.878622708184944
3990,-27.152278741203407,11.450192137481128
1369,-5.259049926798901,11.865528598562054
4596,-8.267782301345974,-10.29379316085682
3164,-30.605756801026917,2.2810059192471255
1032,-26.429435835745963,-11.130593796608581
713,13.95364451451037,-11.611949914991984
615,20.603243730578505,-0.3962279120622755
4614,1.0240294466855961,10.539680856759965
2046,-13.953159553692716,-37.070091895801056
3019,-0.4853201156372233,-15.423158580504019
906,34.38810401417608,0.07168538050329358
2047,-6.861292376237842,11.464934578804948
1234,-31.272789896178747,6.2620807623848025
2187,15.596776543955668,-1.7756758782266235
5161,-23.037892493677585,-29.31013156614768
4842,21.283664830233185,-25.187678550374066
2801,31.655503813310656,-2.518927944680666
1071,-27.767145781093355,3.3575572309253117
552,14.395774480197614,-1.2131235730353769
1698,-22.667552137953802,-2.366029703719996
5059,-18.548526658049067,46.45216515327026
809,-6.733472908992992,-12.292258095613459
3253,23.597972858704306,24.56793271357079
3894,-7.366551868625634,14.412651403293264
4940,4.8285943409713505,-15.754472054960182
3922,9.326562378698558,-11.791136557810944
588,-30.832740587450697,12.981706605838413
4663,34.4526001436948,-1.9540173204026263
1414,28.363239817293163,-4.023763871660385
4183,22.77370259918011,33.82886542211983
2321,-31.962388632831882,5.532416091015179
150,6.210235711901736,-12.564425160143525
2313,-28.42004847394665,10.49705912712029
5257,-24.892286585070824,8.990438487482031
1858,1.172116082194922,-4.264460916209062
4440,-18.698514324944174,47.80811299563326
2990,-25.373412226171073,-7.624332842972033
3088,-26.76726984867737,2.538847253701251
5408,10.753355920240809,-14.743322312840917
2725,9.756015915711705,2.8866811383492887
514,-14.857399895520034,15.682271354383325
3089,-7.219864895023737,43.96703438823613
3074,-15.483605177634749,44.67608879355534
4442,-32.5560907936624,-6.702183222710846
3257,26.44949916896782,-33.402758903472616
3876,0.08696813604639823,-11.060095836471035
3433,15.851952668609197,-24.782430091445406
3396,-4.321584498360686,-14.434823152692706
1447,-6.796803812153261,-15.757013275100945
99,-20.36969206338803,-36.884549252686085
1067,-12.419651242377508,48.47898813718586
4242,-9.602533690288652,13.899254887505966
3233,-7.716836431221686,48.642837983380176
2651,-7.921945826230508,52.525337875449466
29,-10.685959314808109,-2.710981220520276
4280,-17.162089710742183,14.823637846764873
1446,15.494583090040335,-24.53382013863176
5123,-24.54316231475096,-4.694625743645604
2163,-24.537760748603933,13.804588761380415
3772,16.354106252296774,-0.568405571222172
3704,-9.430809069983114,9.62728211994635
5458,23.105351451434355,-36.268756486669616
3489,-26.888401151426834,-4.173412735576494
2751,7.758403735844017,-14.051852247192484
1857,31.412626344228833,-0.020655049149678625
2361,-20.384576938854682,-9.653780400230973
2605,22.297266814754085,-17.296923540721025
71,-23.818705216774557,-10.591918614931764
3496,14.445722971626871,-0.6942548396888057
3303,-13.410309142029915,42.90260463839361
1335,13.83411152479967,-11.033429927068614
4173,19.868639317490086,-31.96140365841921
3252,35.88035093933627,-7.422579383539513
4367,-7.574061573897503,-9.396468111234983
5024,24.883706352880086,-32.03901636081148
4735,21.356312495520832,-24.70682648796548
3853,-16.861906617146147,47.59619348598392
2290,36.218996782865894,-7.558191205554454
5551,18.183844003675507,-30.425874900742535
154,-10.110920712179606,-18.64196296655313
4322,-15.23373947683524,-37.583947791134584
3884,21.25005786440679,-27.678416188113953
4415,-4.7008029633578605,-3.0566925490743557
2035,34.11612492667936,1.5816028248256104
4187,18.384279384958287,-32.335221592685365
5032,23.55627579886433,-31.191953801765553
3215,-23.45786569565378,-2.133732320344986
1715,-9.934707097799263,49.832530346365985
4130,-9.383164948237576,-35.144718560658454
2211,12.256068416093768,-4.2353028288921335
2530,-17.75359654292728,12.13234894417442
36,23.630102676910283,-18.494248138891805
460,27.41775082105087,-24.438599751125547
1871,28.69420840126497,-27.991133057680297
3991,-1.9366971237483437,-11.733956054800377
2435,22.04091214991867,26.65097429464116
1890,-30.884103841121142,11.279568949951853
486,28.071516618001493,-23.497545874534342
521,-12.483208596181928,50.64739542509722
3694,-12.601146683523092,-8.096707326906298
39,11.706491053728227,2.773754299621963
4781,-20.816618043983524,-44.31229518341073
2350,-11.117444266883755,47.526351195953744
756,24.010162852713904,-36.211438448078034
4239,-12.454313571736984,43.825002820670655
566,-7.123644511629833,-7.166373413002756
301,-29.43238311068813,-6.031268952355893
1508,19.50062756617313,-31.889496198910326
1042,-8.185741319898934,46.04937535825879
4212,-23.853410949038114,-5.567788765710632
866,25.048405328707936,-28.82649339745229
3414,23.32880151905358,30.939897230267874
4731,-30.55687142457542,-4.578593765232756
3157,30.874246244200037,9.387717612597873
3985,-2.6863346682231968,10.870547784250913
4076,-5.70871050113644,-4.022124585088032
76,20.791151119527797,-33.56720176294823
