threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.25999999999999995,0.974,0.6,0.7058823529411765,0.6486486486486486,0.9834368530020704,0.8446596029716235,0.9769550332210201,0.7507411094275329,1425,24,15,36
0.26999999999999996,0.9746666666666667,0.6101694915254238,0.7058823529411765,0.6545454545454547,0.9841269841269841,0.8450046685340803,0.9769550332210201,0.7507411094275329,1426,23,15,36
0.27999999999999997,0.976,0.631578947368421,0.7058823529411765,0.6666666666666667,0.9855072463768116,0.8456947996589941,0.9769550332210201,0.7507411094275329,1428,21,15,36
0.29,0.976,0.631578947368421,0.7058823529411765,0.6666666666666667,0.9855072463768116,0.8456947996589941,0.9769550332210201,0.7507411094275329,1428,21,15,36
0.3,0.9773333333333334,0.6545454545454545,0.7058823529411765,0.679245283018868,0.9868875086266391,0.8463849307839078,0.9769550332210201,0.7507411094275329,1430,19,15,36
0.30999999999999994,0.9766666666666667,0.6538461538461539,0.6666666666666666,0.6601941747572816,0.9875776397515528,0.8271221532091098,0.9769550332210201,0.7507411094275329,1431,18,17,34
0.31999999999999995,0.9773333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9882677708764666,0.8274672187715666,0.9769550332210201,0.7507411094275329,1432,17,17,34
0.32999999999999996,0.9773333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9882677708764666,0.8274672187715666,0.9769550332210201,0.7507411094275329,1432,17,17,34
0.33999999999999997,0.9773333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9882677708764666,0.8274672187715666,0.9769550332210201,0.7507411094275329,1432,17,17,34
0.3499999999999999,0.9766666666666667,0.66,0.6470588235294118,0.6534653465346535,0.9882677708764666,0.8176632972029392,0.9769550332210201,0.7507411094275329,1432,17,18,33
0.35999999999999993,0.9786666666666667,0.7021276595744681,0.6470588235294118,0.673469387755102,0.9903381642512077,0.8186984938903097,0.9769550332210201,0.7507411094275329,1435,14,18,33
0.36999999999999994,0.9793333333333333,0.717391304347826,0.6470588235294118,0.6804123711340206,0.9910282953761215,0.8190435594527666,0.9769550332210201,0.7507411094275329,1436,13,18,33
0.37999999999999995,0.978,0.7045454545454546,0.6078431372549019,0.6526315789473683,0.9910282953761215,0.7994357163155117,0.9769550332210201,0.7507411094275329,1436,13,20,31
0.38999999999999996,0.9793333333333333,0.7380952380952381,0.6078431372549019,0.6666666666666666,0.9924085576259489,0.8001258474404254,0.9769550332210201,0.7507411094275329,1438,11,20,31
0.3999999999999999,0.9793333333333333,0.7380952380952381,0.6078431372549019,0.6666666666666666,0.9924085576259489,0.8001258474404254,0.9769550332210201,0.7507411094275329,1438,11,20,31
0.4099999999999999,0.9786666666666667,0.7317073170731707,0.5882352941176471,0.6521739130434783,0.9924085576259489,0.790321925871798,0.9769550332210201,0.7507411094275329,1438,11,21,30
0.41999999999999993,0.978,0.725,0.5686274509803921,0.6373626373626374,0.9924085576259489,0.7805180043031705,0.9769550332210201,0.7507411094275329,1438,11,22,29
0.42999999999999994,0.9786666666666667,0.7435897435897436,0.5686274509803921,0.6444444444444445,0.9930986887508627,0.7808630698656274,0.9769550332210201,0.7507411094275329,1439,10,22,29
0.43999999999999995,0.978,0.7368421052631579,0.5490196078431373,0.6292134831460675,0.9930986887508627,0.771059148297,0.9769550332210201,0.7507411094275329,1439,10,23,28
0.4499999999999999,0.9793333333333333,0.7777777777777778,0.5490196078431373,0.6436781609195402,0.9944789510006902,0.7717492794219137,0.9769550332210201,0.7507411094275329,1441,8,23,28
0.4599999999999999,0.9793333333333333,0.7941176470588235,0.5294117647058824,0.6352941176470589,0.9951690821256038,0.762290423415743,0.9769550332210201,0.7507411094275329,1442,7,24,27
0.4699999999999999,0.9793333333333333,0.7941176470588235,0.5294117647058824,0.6352941176470589,0.9951690821256038,0.762290423415743,0.9769550332210201,0.7507411094275329,1442,7,24,27
0.4799999999999999,0.9806666666666667,0.84375,0.5294117647058824,0.6506024096385543,0.9965493443754313,0.7629805545406568,0.9769550332210201,0.7507411094275329,1444,5,24,27
0.48999999999999994,0.98,0.8387096774193549,0.5098039215686274,0.6341463414634145,0.9965493443754313,0.7531766329720293,0.9769550332210201,0.7507411094275329,1444,5,25,26
0.49999999999999994,0.98,0.8387096774193549,0.5098039215686274,0.6341463414634145,0.9965493443754313,0.7531766329720293,0.9769550332210201,0.7507411094275329,1444,5,25,26
0.5099999999999999,0.98,0.8387096774193549,0.5098039215686274,0.6341463414634145,0.9965493443754313,0.7531766329720293,0.9769550332210201,0.7507411094275329,1444,5,25,26
0.5199999999999999,0.9793333333333333,0.8333333333333334,0.49019607843137253,0.6172839506172839,0.9965493443754313,0.7433727114034019,0.9769550332210201,0.7507411094275329,1444,5,26,25
0.5299999999999999,0.9786666666666667,0.8275862068965517,0.47058823529411764,0.6,0.9965493443754313,0.7335687898347745,0.9769550332210201,0.7507411094275329,1444,5,27,24
0.5399999999999999,0.9786666666666667,0.8518518518518519,0.45098039215686275,0.5897435897435898,0.9972394755003451,0.7241099338286039,0.9769550332210201,0.7507411094275329,1445,4,28,23
0.5499999999999999,0.978,0.8461538461538461,0.43137254901960786,0.5714285714285715,0.9972394755003451,0.7143060122599765,0.9769550332210201,0.7507411094275329,1445,4,29,22
0.5599999999999999,0.978,0.8461538461538461,0.43137254901960786,0.5714285714285715,0.9972394755003451,0.7143060122599765,0.9769550332210201,0.7507411094275329,1445,4,29,22
0.57,0.978,0.8461538461538461,0.43137254901960786,0.5714285714285715,0.9972394755003451,0.7143060122599765,0.9769550332210201,0.7507411094275329,1445,4,29,22
0.58,0.9786666666666667,0.88,0.43137254901960786,0.5789473684210527,0.9979296066252588,0.7146510778224333,0.9769550332210201,0.7507411094275329,1446,3,29,22
